Values,0,1,2,Attribution,Weight
50_c0,0.003485029,0.005374456,0.003327375,1,0.001312169
50_c1,0.006154887,0.00313526,0.005068098,0,0.001368805
50_c2,0.00374565,0.002384517,0.003979041,2,0.000609305
50_c3,0.005458706,0.001513196,0.002860986,0,0.002181076
50_c4,0.00427957,0.002578986,0.002566986,0,0.001137723
50_c5,0.004270795,0.009183989,0.005689592,1,0.00280253
50_c6,0.005833727,0.004880655,0.008701176,2,0.002229323
50_c7,0.006425704,0.006327023,0.006465698,2,5.95566E-05
50_c8,0.016858968,0.015925293,0.014690813,0,0.001033943
50_c10,0.002754489,0.00128883,0.006732934,2,0.003140849
50_c9,0.007175791,0.005606573,0.005534062,0,0.001070315
50_c11,0.008009507,0.004486398,0.0116331,2,0.003590098
50_c12,0.032865156,0.039825797,0.047687223,2,0.007561164
50_c13,0.085505926,0.086161876,0.089214216,2,0.002253543
50_c14,0.01179265,0.010707316,0.007315151,0,0.001854278
50_c15,0.007037952,0.004385726,0.003127137,0,0.00218768
50_c16,0.003993362,0.002016173,0.003997131,2,0.000661576
50_c17,0.003487258,0.005236297,0.001425559,1,0.001853259
50_c18,0.00503536,0.005290428,0.006004484,2,0.00056106
50_c19,0.067576959,0.063373377,0.055607539,0,0.005391
50_c20,0.006210503,0.003783701,0.00485307,0,0.001261411
50_c21,0.061804294,0.060426252,0.06305515,2,0.001293251
50_c22,0.066216421,0.072631267,0.066965482,1,0.004026877
50_c23,0.03148611,0.034286699,0.03213428,1,0.001651003
50_c24,0.027588014,0.028769097,0.028995292,2,0.000544491
50_c25,0.050477246,0.047002144,0.051049484,2,0.001539859
50_c26,0.010921561,0.008331609,0.012185801,2,0.001706145
50_c27,0.009146635,0.008160422,0.010501142,2,0.001231742
50_c28,0.004268673,0.004111609,0.003912177,0,0.000171187
50_c29,0.003302349,0.00428597,0.003297467,1,0.000657375
50_c30,0.051872835,0.048831551,0.049343458,0,0.001856887
50_c31,0.062545067,0.070862379,0.054109855,1,0.008356612
50_c32,0.017966584,0.010401303,0.019060745,2,0.003251201
50_c33,0.011381815,0.020016354,0.013341243,1,0.005103216
50_c34,0.038280011,0.032384482,0.030934989,0,0.004413517
50_c35,0.010022413,0.009523866,0.014599659,2,0.00321768
50_c36,0.00467174,0.005691325,0.004811785,1,0.000633042
50_c37,0.009081725,0.005655548,0.00797117,0,0.001512244
50_c38,0.002667849,0.005771179,0.002824952,1,0.002016519
50_c39,0.00373459,0.006656878,0.001975349,1,0.002534605
50_c40,0.015288946,0.018623343,0.018293806,1,0.001221311
50_c41,0.00361819,0.001842255,0.009285221,2,0.004369999
50_c42,0.003861572,0.00879507,0.002295365,1,0.003811068
50_c43,0.124730934,0.12874679,0.123623401,1,0.003046415
50_c44,0.024688014,0.024314132,0.027152446,2,0.001767582
50_c45,0.004051769,0.002895073,0.002139441,0,0.001023008
50_c46,0.005765176,0.001212111,0.001960719,0,0.002785841
50_c47,0.0116451,0.012472674,0.0127196,2,0.000440476
50_c48,0.011661882,0.014076194,0.014860598,2,0.001327707
50_c49,0.019294529,0.019756488,0.020118592,2,0.000395389
